1st,2nd*0.8,3rd*0.6,â¡èdïΩãœ
1.264872521,2.183182406,1.613040494,2.108789759
2.728978008,2.98443804,1.420842572,2.972607758
0.551854656,2.183182406,1.06173542,1.581988534
0.813043478,1.011898017,0.331112794,0.898355954
2.247133758,1.894456762,0.758923513,2.041880847
2.368070953,1.415647226,2.23832853,2.509186129
0.813043478,0.441483725,1.637386805,1.20496417
2.368070953,2.150720659,0.331112794,2.020793502
1.769559033,2.150720659,0.331112794,1.771413536
2.728978008,2.150720659,0.555830619,2.264803869
0.551854656,1.797707006,1.613040494,1.651084232
0.813043478,0.441483725,0.555830619,0.754315759
0.551854656,0.650434782,0.758923513,0.817172063
2.688400824,0.741107492,1.637386805,2.1112063
1.769559033,0.441483725,0.555830619,1.152863907
0.551854656,0.650434782,1.613040494,1.173054139
2.688400824,0.650434782,1.637386805,2.073426005
0.551854656,0.650434782,0.555830619,0.732550024
0.551854656,1.011898017,1.637386805,1.333808116
1.264872521,0.441483725,0.487826087,0.914242639
0.813043478,0.441483725,1.637386805,1.20496417
0.551854656,2.150720659,0.758923513,1.442291178
0.926384365,2.183182406,0.331112794,1.433616485
1.264872521,0.441483725,0.487826087,0.914242639
1.769559033,2.183182406,1.420842572,2.238993338
0.551854656,2.183182406,0.758923513,1.455816906
1.264872521,0.741107492,1.637386805,1.518069507
0.551854656,1.415647226,0.758923513,1.136010581
1.264872521,0.441483725,1.613040494,1.383081975
0.551854656,0.650434782,1.613040494,1.173054139
2.688400824,0.441483725,1.06173542,1.74650832
0.551854656,0.741107492,1.06173542,0.981123987
0.551854656,2.183182406,0.487826087,1.342859646
1.769559033,1.011898017,1.420842572,1.750958176
0.551854656,1.415647226,0.555830619,1.051388542
1.264872521,0.441483725,0.555830619,0.94257786
2.728978008,0.441483725,1.613040494,1.993125928
0.551854656,1.415647226,1.420842572,1.411810189
0.813043478,0.741107492,1.06173542,1.089952662
0.926384365,1.415647226,1.348280255,1.537629936
1.264872521,2.183182406,1.420842572,2.028707291
0.551854656,2.183182406,0.555830619,1.371194867
0.551854656,0.650434782,1.06173542,0.943343691
2.247133758,0.441483725,0.758923513,1.436475415
2.247133758,2.183182406,1.613040494,2.518065275
0.551854656,1.415647226,0.487826087,1.023053321
0.551854656,1.797707006,0.555830619,1.210580117
2.728978008,2.150720659,0.331112794,2.171171442
0.926384365,2.183182406,1.613040494,1.967753027
1.769559033,0.441483725,0.758923513,1.237485946
0.551854656,1.415647226,0.758923513,1.136010581
2.368070953,0.741107492,1.637386805,1.977735521
0.813043478,0.441483725,0.758923513,0.838937798
1.769559033,1.797707006,1.613040494,2.158461056
0.813043478,0.441483725,1.06173542,0.965109426
0.551854656,1.415647226,0.555830619,1.051388542
0.813043478,0.441483725,0.555830619,0.754315759
1.264872521,1.894456762,1.637386805,1.998631703
0.926384365,1.011898017,1.637386805,1.489862161
0.926384365,0.441483725,0.758923513,0.886163168
0.813043478,0.741107492,0.758923513,0.963781034
0.551854656,0.741107492,1.637386805,1.22097873
0.551854656,1.415647226,1.348280255,1.381575891
0.551854656,1.797707006,1.613040494,1.651084232
0.926384365,1.894456762,1.637386805,1.857594972
1.769559033,0.441483725,1.637386805,1.603512318
0.551854656,1.415647226,0.487826087,1.023053321
0.926384365,0.441483725,0.758923513,0.886163168
0.926384365,1.415647226,1.420842572,1.567864235
0.926384365,1.011898017,0.331112794,0.945581323
0.551854656,1.415647226,0.555830619,1.051388542
0.551854656,0.650434782,1.420842572,1.092971671
1.769559033,1.797707006,1.637386805,2.168605352
0.926384365,1.894456762,1.06173542,1.617740228
0.813043478,2.183182406,1.613040494,1.920527658
2.728978008,0.650434782,1.348280255,1.969872102
0.551854656,0.741107492,1.637386805,1.22097873
2.728978008,0.441483725,1.06173542,1.76341548
0.551854656,2.183182406,1.613040494,1.811698982
0.551854656,0.650434782,0.758923513,0.817172063
2.728978008,2.150720659,2.23832853,2.965844666
3.73054755,1.797707006,0.758923513,2.619657529
0.551854656,1.797707006,2.23832853,1.911620914
2.688400824,0.441483725,1.06173542,1.74650832
1.264872521,1.415647226,1.348280255,1.678666668
1.264872521,1.415647226,0.331112794,1.254846892
0.926384365,0.650434782,0.758923513,0.973226108
2.247133758,0.441483725,0.555830619,1.351853376
0.551854656,0.650434782,0.758923513,0.817172063
0.813043478,0.441483725,1.06173542,0.965109426
0.551854656,1.415647226,1.637386805,1.502036953
1.769559033,1.011898017,1.348280255,1.720723877
1.264872521,0.650434782,0.331112794,0.936008374
0.551854656,1.415647226,1.348280255,1.381575891
2.368070953,1.797707006,0.555830619,1.967336908
1.264872521,0.650434782,0.331112794,0.936008374
0.813043478,0.441483725,1.06173542,0.965109426
0.551854656,0.650434782,2.23832853,1.43359082
0.926384365,0.441483725,0.758923513,0.886163168
0.551854656,1.415647226,0.555830619,1.051388542
0.551854656,1.415647226,0.555830619,1.051388542
1.769559033,0.441483725,0.487826087,1.124528685
2.247133758,0.741107492,0.758923513,1.561318651
3.73054755,2.183182406,1.613040494,3.136154355
1.769559033,0.441483725,0.555830619,1.152863907
0.813043478,2.183182406,1.613040494,1.920527658
1.769559033,1.011898017,0.487826087,1.362201307
1.264872521,0.741107492,0.487826087,1.039085875
0.551854656,1.415647226,0.758923513,1.136010581
0.926384365,0.441483725,0.758923513,0.886163168
0.551854656,0.650434782,0.555830619,0.732550024
0.551854656,1.415647226,1.637386805,1.502036953
2.728978008,0.650434782,1.613040494,2.080188869
1.769559033,0.441483725,1.637386805,1.603512318
0.551854656,1.415647226,1.348280255,1.381575891
0.813043478,0.441483725,0.555830619,0.754315759
0.926384365,2.183182406,0.758923513,1.611870952
1.264872521,2.183182406,0.331112794,1.574653217
2.728978008,2.150720659,0.487826087,2.236468648
0.813043478,0.441483725,0.555830619,0.754315759
1.264872521,0.650434782,0.331112794,0.936008374
0.926384365,1.894456762,1.613040494,1.847450676
