,ID,Sex,Age,âÒìöéûä‘,15çŒÇ‹Ç≈ÇÃåß,15çŒÇ‹Ç≈ÇÃínàÊ,15çŒÇ‹Ç≈ÇÃìåêº,ç°èZÇÒÇ≈Ç¢ÇÈåß,ç°èZÇÒÇ≈Ç¢ÇÈínàÊ,ç°èZÇÒÇ≈Ç¢ÇÈìåêº,ç°Ç∆êÃÇ™àÍèè=0,0:Ç¶Ç—,1:åäéq,2:Ç‹ÇÆÇÎ,3:Ç¢Ç©,4:Ç§Ç…,5:Ç¢Ç≠ÇÁ,6:ã éq,7:Ç∆ÇÎ,8:ìSâŒä™,9:Ç©Ç¡Çœä™,è„à 3ÉlÉ^ÇÃÇ±Ç¡ÇƒÇËïΩãœ,è„à 3ÉlÉ^ÇÃÇ∫Ç¢ÇΩÇ≠ïΩãœ
1,6371,0,2,355,0,0,0,0,0,0,0,2,8,10,3,4,1,5,9,7,6,2.227417,2.016311
2,10007,1,1,214,26,6,1,26,6,1,0,1,8,6,4,10,9,3,5,7,2,2.942532,1.296962
3,1777,1,2,363,29,6,1,26,6,1,1,2,8,3,4,6,7,10,1,5,9,1.683464,2.732866
4,3613,0,4,395,40,9,1,26,6,1,1,4,7,5,6,1,2,8,3,9,10,0.87659,3.489366
5,8081,1,1,707,26,6,1,36,8,1,1,4,10,7,5,9,3,2,8,1,6,1.960026,1.769222
6,1462,1,2,276,12,3,0,13,3,0,1,4,6,2,10,7,5,1,9,8,3,2.622726,1.309064
7,5367,0,3,241,0,0,0,0,0,0,0,3,4,5,7,1,8,10,2,6,9,1.364625,3.203719
8,1084,1,2,196,0,0,0,13,3,0,1,5,8,7,2,9,10,1,3,4,6,1.869442,2.344358
9,6861,0,2,336,42,9,1,39,9,1,1,5,9,1,2,6,7,8,3,4,10,1.669938,2.62511
10,9458,1,0,308,18,5,0,18,5,0,0,1,3,6,2,9,10,5,8,4,7,2.114588,1.78201
11,9077,1,1,623,27,6,1,27,6,1,0,7,10,4,3,8,6,5,1,2,9,1.82913,2.526814
12,9614,1,1,416,13,3,0,13,3,0,0,9,3,5,4,1,6,7,2,8,10,0.763761,3.255065
13,8768,1,2,191,26,6,1,26,6,1,0,5,4,8,6,2,3,10,1,7,9,0.87659,3.489366
14,7155,0,3,195,16,3,0,16,3,0,0,3,2,6,1,10,9,8,5,4,7,2.114588,1.78201
15,1112,1,2,234,10,3,0,8,3,0,1,4,3,1,10,5,6,9,2,8,7,1.082599,2.784213
16,5281,0,2,192,18,5,0,13,3,0,1,5,6,7,3,2,4,8,1,9,10,1.3511,3.095963
17,9733,1,2,431,31,7,1,11,3,0,1,3,10,9,1,2,4,6,7,8,5,2.076807,2.213618
18,5695,0,2,222,40,9,1,12,3,0,1,5,3,4,6,2,9,7,1,8,10,0.763761,3.255065
19,5085,0,2,296,10,3,0,10,3,0,0,3,4,5,8,6,2,10,1,7,9,1.515235,3.006412
20,1834,1,2,380,32,7,1,14,3,0,1,4,7,8,5,3,1,10,2,6,9,0.87659,3.489366
21,1314,0,1,238,13,3,0,13,3,0,0,3,6,5,8,1,4,9,2,7,10,1.364625,3.203719
22,3725,0,3,378,15,4,0,15,4,0,0,5,6,10,2,4,3,7,1,8,9,1.501709,2.898656
